site_name,Latitude,Longitude
668,31.2284,50.7888
669,30.5741,51.5695
670,30.5711,48.8074
671,33.81317,47.84949
672,29.760857,31.296144
673,29.73614,31.29001
674,29.717184,31.295811
675,29.74605,31.29026
676,29.717184,31.295811
677,29.69461,31.31215
678,29.67433,31.31455
679,30.64934,-96.370777
680,30.64127,-96.36091
681,30.56459,-96.36731
682,30.56459,-96.36731
683,34.09166667,-102
684,33.93333333,-101.1666667
685,34.25,-102.8333333
686,34.09166667,-102
687,33.93333333,-101.1666667
688,34.25,-102.8333333
689,36.43416667,103.9
690,36.43416667,103.9
691,36.43416667,103.9
692,35.93333333,103.25
693,35.93333333,103.25
694,35.93333333,103.25
695,19.18666667,-100.4363889
696,44.73333333,132.2333333
697,44.73333333,132.2333333
698,44.73333333,132.2333333
699,44.73580278,19.98768611
700,44.73580278,19.98768611
701,44.73580278,19.98768611
702,49.2607437,-102.5307655
703,46.0225,-73.0488
704,45.40436,-72.67731
705,45.28588,-72.97943
706,45.4953,-72.6272
707,45.417,-72.9252
708,49.2607437,-102.5307655
709,45.40436,-72.67731
710,45.28588,-72.97943
711,45.4953,-72.6272
712,49.2607437,-102.5307655
713,46.0225,-73.0488
714,45.40436,-72.67731
715,45.28588,-72.97943
716,45.4953,-72.6272
717,-13.86111111,-40.24972222
718,-13.87333333,-40.07694444
719,-13.92055556,-40.02888889
720,-14.06805556,-39.92416667
721,-14.13416667,-39.76333333
722,6.514166667,3.3925
723,6.514166667,3.3925
724,6.514166667,3.3925
725,6.514166667,3.3925
726,6.518611111,3.401111111
727,6.518611111,3.401111111
728,6.518611111,3.401111111
729,6.518611111,3.401111111
730,6.529444444,3.397222222
731,6.529444444,3.397222222
732,6.529444444,3.397222222
733,6.529444444,3.397222222
734,38.32396,-122.58018
735,46.097091,-114.26404
736,46.097091,-114.26404
737,46.097091,-114.26404
738,43.83294,-110.35469
739,43.83294,-110.35469
740,43.83294,-110.35469
741,43.83189,-110.35502
742,43.83189,-110.35502
743,43.84527,-110.32977
744,43.83189,-110.35502
745,43.82993,-110.35448
746,43.84527,-110.32977
747,43.84527,-110.32977
748,40.5739,-105.8438
749,40.5739,-105.8438
750,40.5739,-105.8438
751,40.5739,-105.8438
752,40.5739,-105.8438
753,58.623681,-94.230338
754,58.733556,-93.808002
755,58.715733,-93.836801
756,46.896184,-113.441161
757,46.896184,-113.441161
758,46.896184,-113.441161
759,39.75485,-123.63111
760,39.75485,-123.63111
761,39.75485,-123.63111
762,39.75485,-123.63111
763,39.75485,-123.63111
764,39.75485,-123.63111
765,58.711897,-93.838297
766,58.761982,-94.010581
767,58.755103,-93.849966
768,44.029686,-121.746355
769,44.029686,-121.746355
770,44.029686,-121.746355
771,44.029686,-121.746355
772,44.029686,-121.746355
773,44.029686,-121.746355
774,44.029686,-121.746355
775,44.029686,-121.746355
776,58.729153,-93.76871205
777,43.813106,-121.777131
778,38.32396,-122.58018
779,38.32396,-122.58018
780,43.733332,-121.491035
781,58.711897,-93.838297
782,58.711897,-93.838297
783,58.768291,-94.168464
784,58.768291,-94.168464
785,58.768291,-94.168464
786,34.54662,-118.5135
787,34.54662,-118.5135
788,34.54662,-118.5135
789,34.54662,-118.5135
790,34.54662,-118.5135
791,34.54662,-118.5135
792,34.54662,-118.5135
793,34.54662,-118.5135
794,34.54662,-118.5135
795,34.54662,-118.5135
796,46.1759165,-114.2645003
797,46.1759165,-114.2645003
798,30.42367,-91.64534
799,30.42367,-91.64534
800,30.42367,-91.64534
801,30.42367,-91.64534
802,30.42367,-91.64534
803,30.42367,-91.64534
804,30.42367,-91.64534
805,30.42367,-91.64534
806,30.42367,-91.64534
807,30.42367,-91.64534
808,46.896184,-113.441161
809,46.896184,-113.441161
810,30.27523,-91.80227
811,30.27523,-91.80227
812,30.27523,-91.80227
813,30.27523,-91.80227
814,30.27523,-91.80227
815,30.27523,-91.80227
816,30.27523,-91.80227
817,30.27523,-91.80227
818,30.27523,-91.80227
819,30.27523,-91.80227
820,30.27523,-91.80227
821,30.27523,-91.80227
822,30.27523,-91.80227
823,30.27523,-91.80227
824,30.27523,-91.80227
825,30.27523,-91.80227
826,30.27523,-91.80227
827,30.27523,-91.80227
828,30.27523,-91.80227
829,30.27523,-91.80227
830,30.27523,-91.80227
831,30.27523,-91.80227
832,30.27523,-91.80227
833,30.27523,-91.80227
834,30.27523,-91.80227
835,30.27523,-91.80227
836,30.27523,-91.80227
837,30.27523,-91.80227
838,30.27523,-91.80227
839,30.27523,-91.80227
840,30.27523,-91.80227
841,44.371,-121.355
842,44.371,-121.355
843,44.371,-121.355
844,44.371,-121.355
845,44.371,-121.355
846,44.371,-121.355
847,44.371,-121.355
848,44.371,-121.355
849,44.371,-121.355
850,44.371,-121.355
851,44.371,-121.355
852,44.371,-121.355
853,44.371,-121.355
854,44.371,-121.355
855,44.371,-121.355
856,44.371,-121.355
857,44.371,-121.355
858,44.371,-121.355
859,44.371,-121.355
860,44.371,-121.355
861,44.371,-121.355
862,44.371,-121.355
863,44.371,-121.355
864,44.371,-121.355
865,44.371,-121.355
866,43.8761,-110.5486
867,43.8761,-110.5486
868,43.8761,-110.5486
869,43.8761,-110.5486
870,43.8761,-110.5486
